# Format: cml_metadata.csv
Link,Direction,Sublink,NearLatitude_DecDeg,NearLongitude_DecDeg,FarLatitude_DecDeg,FarLongitude_DecDeg,Frequency_GHz,Polarization,Length_km,NearAntennaDiameter_m,FarAntennaDiameter_m
10009,A,16,57.69989,11.97369,57.71181,11.98477,37.24,Vertical,1.48256,0.3,0.3
10009,B,15,57.71181,11.98477,57.69989,11.97369,38.5,Vertical,1.48256,0.3,0.3
10012,A,196,57.70194,11.97488,57.69785,11.9911,28.1785,Vertical,1.06883,0.3,0.3
10012,B,193,57.69785,11.9911,57.70194,11.97488,29.1865,Vertical,1.06883,0.3,0.3
10015,A,614,57.71994,11.99954,57.71181,11.98477,32.361,Vertical,1.26166,0.3,0.3
10015,B,613,57.71181,11.98477,57.71994,11.99954,33.173,Vertical,1.26166,0.3,0.3
10022,A,354,57.68889,11.97322,57.68479,11.96203,29.2705,Vertical,0.80947,0.3,0.3
10022,B,353,57.68479,11.96203,57.68889,11.97322,28.2625,Vertical,0.80947,0.3,0.3
10026,A,62,57.69675,12.00068,57.68905,11.99701,38.584,Vertical,0.8853,0.3,0.3
10026,B,61,57.68905,11.99701,57.69675,12.00068,37.324,Vertical,0.8853,0.3,0.3
10027,A,541,57.71342,12.00212,57.71181,11.98477,37.212,Vertical,1.04943,0.3,0.3
10027,B,542,57.71181,11.98477,57.71342,12.00212,38.472,Vertical,1.04943,0.3,0.3
10030,A,46,57.71121,12.01629,57.75606,12.06644,23.142,Vertical,5.81845,0.3,0.3
10030,B,45,57.75606,12.06644,57.71121,12.01629,22.134,Vertical,5.81845,0.3,0.3
10032,A,154,57.70804,12.0247,57.75606,12.06644,18.25,Vertical,5.89528,0.3,0.6
10032,B,153,57.75606,12.06644,57.70804,12.0247,19.26,Vertical,5.89528,0.6,0.3
10035,A,468,57.68063,11.97853,57.68479,11.96203,29.1865,Vertical,1.08746,0.3,0.3
10035,B,467,57.68479,11.96203,57.68063,11.97853,28.1785,Vertical,1.08746,0.3,0.3
10042,A,651,57.72651,12.02188,57.72567,12.04335,38.318,Vertical,1.28298,0.3,0.3
10042,B,652,57.72567,12.04335,57.72651,12.02188,37.324,Vertical,1.28298,0.3,0.3
10043,A,568,57.73319,12.02358,57.71552,12.05015,33.229,Vertical,2.52495,0.3,0.3
10043,B,567,57.71552,12.05015,57.73319,12.02358,32.417,Vertical,2.52495,0.3,0.3
10050,A,13,57.72874,11.93552,57.72946,11.91532,38.528,Vertical,1.20565,0.3,0.3
10050,B,14,57.72946,11.91532,57.72874,11.93552,37.268,Vertical,1.20565,0.3,0.3
10051,A,308,57.73374,11.97313,57.72285,11.97265,37.24,Vertical,1.21279,0.3,0.3
10051,B,307,57.72285,11.97265,57.73374,11.97313,38.5,Vertical,1.21279,0.3,0.3
10059,A,331,57.75482,11.92055,57.72355,11.8898,28.1785,Vertical,3.93376,0.3,0.6
10059,B,332,57.72355,11.8898,57.75482,11.92055,29.1865,Vertical,3.93376,0.6,0.3
10064,A,164,57.6614,11.94447,57.62855,11.9672,28.2345,Vertical,3.90091,0.3,0.3
10064,B,163,57.62855,11.9672,57.6614,11.94447,29.2425,Vertical,3.90091,0.3,0.3
10067,A,530,57.65008,11.94072,57.62855,11.9672,28.1785,Horizontal,2.87101,0.3,0.3
10067,B,529,57.62855,11.9672,57.65008,11.94072,29.1865,Horizontal,2.87101,0.3,0.3
10073,A,178,57.72136,11.94161,57.71274,11.89114,29.2145,Vertical,3.15745,0.3,0.3
10073,B,177,57.71274,11.89114,57.72136,11.94161,28.2065,Vertical,3.15745,0.3,0.3
10085,A,330,57.70993,11.91663,57.72355,11.8898,32.445,Vertical,2.20334,0.3,0.3
10085,B,327,57.72355,11.8898,57.70993,11.91663,33.257,Vertical,2.20334,0.3,0.3
10088,A,2,57.72416,11.90373,57.7147,11.91276,37.324,Vertical,1.18227,0.3,0.3
10088,B,1,57.7147,11.91276,57.72416,11.90373,38.584,Vertical,1.18227,0.3,0.3
10091,A,572,57.7327,12.00938,57.71181,11.98477,32.333,Vertical,2.74868,0.3,0.3
10091,B,571,57.71181,11.98477,57.7327,12.00938,33.145,Vertical,2.74868,0.3,0.3
10093,A,449,57.68495,11.97409,57.69003,11.96478,38.528,Vertical,0.79311,0.3,0.3
10093,B,450,57.69003,11.96478,57.68495,11.97409,37.268,Vertical,0.79311,0.3,0.3
10098,A,203,57.72567,12.04335,57.70923,12.00797,32.445,Vertical,2.792,0.3,0.3
10098,B,201,57.70923,12.00797,57.72567,12.04335,33.257,Vertical,2.792,0.3,0.3
10102,A,589,57.70848,11.96788,57.70321,11.95678,37.24,Vertical,0.88426,0.3,0.3
